Capital Expenditures,,,,,,,,,,,,
Copper Chalcopyrite,,,,,,,,,,,,
,,,,,,,,,,,,
Summary of Unit Operations,,,,,,,,,,,,
Unit Operation,,Purchased Cost,Install Factor,Installed Cost,All-in Cost,Annualized Cost,,,,,,
Extraction & Ore Preparation,,"$277,944,585",1.3,"$361,327,960","$561,386,296","$48,891,173",,Note: Illustrative install factor,,,,
Crushing & Sizing,,"$6,037,492",1.3,"$7,848,740","$12,194,392","$1,062,011",,,,,,
Agglomeration & Microbe Addition,,"$4,125,756",1.3,"$5,363,483","$8,333,110","$725,731",,,,,,
Biotech input,,"$1,787,557",1.3,"$2,323,824","$3,610,468","$314,436",,,,,,
Stacking,,"$4,535,589",1.3,"$5,896,265","$9,160,881","$797,822",,,,,,
Leach Cycle,,"$33,398,667",1.3,"$43,418,268","$67,457,886","$5,874,912",,,,,,
Solvent Extraction (SX),,"$16,219,648",1.3,"$21,085,542","$32,760,084","$2,853,078",,,,,,
Electrowinning (EW),,"$31,795,999",1.3,"$41,334,799","$64,220,853","$5,592,999",,,,,,
Storage,,"$1,974,839",1.3,"$2,567,291","$3,988,737","$347,379",,,,,,
Totals,,"$377,820,132",,"$491,166,172","$763,112,707","$66,459,541",,,,,,
,,,,,,,,,,,,
Capex Overhead,,,,,,,,,,,,
Total Purchased Cost,,,,"$377,820,132",,,,,,,,
,,,,,,,,,,,,
"Instrumentation, piping, electrical",,15.0%,of purchased,"$56,673,020",,"Plant Design and Economics for Chemical Engineers - Max S. Peters, Klaus D. Timmerhaus, Ronald E. West - Google Books",,,,,,
"Buildings, process, and auxillary",,10.0%,of purchased,"$37,782,013",,Note - we use this illustrative breakdown that's designed more for chemical plants than mining for two reasons:,,,,,,
Service facilities,,20.0%,of purchased,"$75,564,026",,1),the processing steps resemble more of a chemical manufacturing process rather than extraction,,,,,
Land,,4.0%,of purchased,"$15,112,805",,2),there's more literature and finer parameterization around indirect/auxiliary cost breakdowns,,,,,
Total Direct Costs (TDC),,,,"$562,951,997",,"The % breakdowns were set to fit direct & indirect cost comparisons from validation data, but illustratively set. ",,,,,,
,,,,,,,,,,,,
Engineering and supervision,,10.0%,of TDC,"$56,295,200",,,,,,,,
Legal expenses,,2.0%,of TDC,"$11,259,040",,,,,,,,
Construction expense & fee,,5.0%,of TDC,"$28,147,600",,,,,,,,
Contingency,,5.0%,of TDC,"$28,147,600",,,,,,,,
Total Indirect Costs,,,,"$123,849,439",,,,,,,,
,,,,,,,,,,,,
Fixed Capital Investment (FCI),,,,"$686,801,436",,,,,,,,
Working capital,,10.0%,of FCI,"$76,311,271",,,,,,,,
Total Capital Investment (TCI),,,,"$763,112,707",,,,,,,,
,,,,,,,,,,,,
High level assumptions & calcs,,,,,,,,,,,,
